"60","0.825786","192.53.53.104","74.125.250.243","UDP","253","42934 → 3478 Len=211"
"61","0.846940","192.53.53.104","74.125.250.243","UDP","253","42934 → 3478 Len=211"
"62","0.849348","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"63","0.868320","192.53.53.104","74.125.250.243","UDP","249","42934 → 3478 Len=207"
"64","0.889459","192.53.53.104","74.125.250.243","UDP","238","42934 → 3478 Len=196"
"65","0.905265","192.53.53.104","74.125.250.243","UDP","245","42934 → 3478 Len=203"
"66","0.923897","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"67","0.926762","192.53.53.104","74.125.250.243","UDP","268","42934 → 3478 Len=226"
"68","0.948082","192.53.53.104","74.125.250.243","UDP","265","42934 → 3478 Len=223"
"69","0.949840","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13Unknown   [Malformed Packet]"
"70","0.969463","192.53.53.104","74.125.250.243","UDP","253","42934 → 3478 Len=211"
"71","0.986438","192.53.53.104","74.125.250.243","UDP","303","42934 → 3478 Len=261"
"72","0.999462","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"73","1.007032","192.53.53.104","74.125.250.243","UDP","302","42934 → 3478 Len=260"
"74","1.028493","192.53.53.104","74.125.250.243","UDP","252","42934 → 3478 Len=210"
"75","1.049849","192.53.53.104","74.125.250.243","UDP","257","42934 → 3478 Len=215"
"76","1.054198","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"77","1.065585","192.53.53.104","74.125.250.243","UDP","257","42934 → 3478 Len=215"
"78","1.087191","192.53.53.104","74.125.250.243","UDP","253","42934 → 3478 Len=211"
"79","1.099751","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"80","1.108248","192.53.53.104","74.125.250.243","UDP","248","42934 → 3478 Len=206"
"81","1.129571","192.53.53.104","74.125.250.243","UDP","246","42934 → 3478 Len=204"
"82","1.145637","192.53.53.104","74.125.250.243","UDP","249","42934 → 3478 Len=207"
"83","1.148234","74.125.250.243","192.53.53.104","RTCP","322","Sender Report   "
"84","1.149558","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"85","1.166925","192.53.53.104","74.125.250.243","UDP","247","42934 → 3478 Len=205"
"86","1.188206","192.53.53.104","74.125.250.243","UDP","242","42934 → 3478 Len=200"
"87","1.189513","74.125.250.243","192.53.53.104","UDP","167","3478 → 42934 Len=125"
"88","1.191552","74.125.250.243","192.53.53.104","UDP","145","3478 → 42934 Len=103"
"89","1.200489","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"90","1.207936","74.125.250.243","192.53.53.104","UDP","87","3478 → 42934 Len=45"
"91","1.209632","192.53.53.104","74.125.250.243","UDP","240","42934 → 3478 Len=198"
"92","1.212185","74.125.250.243","192.53.53.104","UDP","1020","3478 → 42934 Len=978"
"93","1.212186","74.125.250.243","192.53.53.104","UDP","91","3478 → 42934 Len=49"
"94","1.225496","192.53.53.104","74.125.250.243","UDP","236","42934 → 3478 Len=194"
"95","1.234295","192.53.53.104","74.125.250.243","STUN","166","Binding Request user: gKr-PsS_9qryeAoKAAiKYigCIAQQ:Pk2y"
"96","1.246842","192.53.53.104","74.125.250.243","UDP","236","42934 → 3478 Len=194"
"97","1.249855","192.53.53.104","74.125.250.243","UDP","90","42934 → 3478 Len=48"
"98","1.252423","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"99","1.268193","192.53.53.104","74.125.250.243","UDP","229","42934 → 3478 Len=187"
"100","1.269995","74.125.250.243","192.53.53.104","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 118.71.137.48:7744"
"101","1.289539","192.53.53.104","74.125.250.243","UDP","208","42934 → 3478 Len=166"
"102","1.299913","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"103","1.305533","192.53.53.104","74.125.250.243","UDP","188","42934 → 3478 Len=146"
"104","1.326998","192.53.53.104","74.125.250.243","UDP","177","42934 → 3478 Len=135"
"105","1.348279","192.53.53.104","74.125.250.243","UDP","172","42934 → 3478 Len=130"
"106","1.353964","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"107","1.369504","192.53.53.104","74.125.250.243","UDP","210","42934 → 3478 Len=168"
"108","1.385299","192.53.53.104","74.125.250.243","UDP","175","42934 → 3478 Len=133"
"109","1.400222","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"110","1.406555","192.53.53.104","74.125.250.243","UDP","97","42934 → 3478 Len=55"
"111","1.428044","192.53.53.104","74.125.250.243","UDP","232","42934 → 3478 Len=190"
"112","1.449385","192.53.53.104","74.125.250.243","UDP","333","42934 → 3478 Len=291"
"113","1.455335","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"114","1.465424","192.53.53.104","74.125.250.243","UDP","274","42934 → 3478 Len=232"
"115","1.468651","192.53.53.104","74.125.250.243","RTCP","114","Receiver Report   "
"116","1.486710","192.53.53.104","74.125.250.243","UDP","238","42934 → 3478 Len=196"
"117","1.508267","192.53.53.104","74.125.250.243","UDP","227","42934 → 3478 Len=185"
"118","1.515319","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"119","1.529645","192.53.53.104","74.125.250.243","UDP","227","42934 → 3478 Len=185"
"120","1.545374","192.53.53.104","74.125.250.243","UDP","227","42934 → 3478 Len=185"
"121","1.557327","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"122","1.566591","192.53.53.104","74.125.250.243","UDP","260","42934 → 3478 Len=218"
"123","1.587916","192.53.53.104","74.125.250.243","UDP","294","42934 → 3478 Len=252"
"124","1.605390","74.125.250.243","192.53.53.104","RTCP","106","Application specific   subtype=13"
"125","1.609386","192.53.53.104","74.125.250.243","UDP","260","42934 → 3478 Len=218"
"126","1.610890","74.125.250.243","192.53.53.104","UDP","167","3478 → 42934 Len=125"
"127","1.611535","74.125.250.243","192.53.53.104","UDP","164","3478 → 42934 Len=122"
"128","1.624907","192.53.53.104","74.125.250.243","UDP","86","42934 → 3478 Len=44"
"129","1.625198","192.53.53.104","74.125.250.243","UDP","145","42934 → 3478 Len=103"
"130","1.629407","74.125.250.243","192.53.53.104","UDP","87","3478 → 42934 Len=45"
"131","1.631537","74.125.250.243","192.53.53.104","UDP","91","3478 → 42934 Len=49"
"132","1.646585","192.53.53.104","74.125.250.243","UDP","97","42934 → 3478 Len=55"
"133","1.659670","74.125.250.243","192.53.53.104","RTCP","110","Application specific   subtype=13"
"134","1.667936","192.53.53.104","74.125.250.243","UDP","97","42934 → 3478 Len=55"
