Protocol,Duration,Total Packets,Total Length,Packet Length Min,Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Active Mean,Active Std,Idle Mean,Idle Std,label
0,63.137411,138,62376,452,452,987.9404145982484,2.185708881854532,0.4608570145985401,0.1511969202440778,1.4169939999999954,0.1700879999999927,63.137411,0,0,0,0,0,0,0,0,0.4608570145985401,0.1511969202440778,0.0,0.0,0
1,63.16738000000001,766,51552,54,78,816.117432763556,12.126512133319444,0.0825717385620915,0.1689145317790504,1.3246990000000023,4.9000000004184585e-05,63.16738000000001,138,138,11,0,757,0,0,0,0.0825717385620915,0.1689145317790504,0.0,0.0,0
0,64.49571800000001,59,8732,148,148,135.38883310051682,0.91478941284133,1.1119951379310344,0.0845894707481635,1.4924500000000052,1.0419899999999984,64.49571800000001,0,0,0,0,0,0,0,0,1.1119951379310344,0.0845894707481635,0.0,0.0,0
1,64.521719,333,22450,66,74,347.9448524922282,5.161052823158664,0.1943425271084337,0.4031274053678471,1.3501580000000004,4.99999999945544e-05,64.521719,59,59,0,0,333,0,0,0,0.1943425271084337,0.4031274053678471,0.0,0.0,0
1,50.087326,4390,237060,54,54,4732.933836396058,87.64692289622329,0.0114120132148553,0.006326031283349,0.2202130000000011,9.1999999995096e-05,50.087326,0,0,0,0,0,0,0,0,0.0114120132148553,0.006326031283349,0.0,0.0,1
0,64.48689100000001,247,36803,149,149,570.7051375759454,3.830235822657351,0.2621418333333333,0.0680426590902058,0.7428939999999997,0.229311999999993,64.48689100000001,0,0,0,0,0,0,0,0,0.2621418333333333,0.0680426590902058,0.0,0.0,0
1,64.517248,1375,92774,66,78,1437.9720598125948,21.312130362411,0.0469557845705967,0.081437915419749,0.4166449999999955,5.200000000371574e-05,64.517248,247,247,0,0,1378,0,0,0,0.0469557845705967,0.081437915419749,0.0,0.0,0
1,56.621687,4245,229230,54,54,4048.448786063192,74.97127381598504,0.0133415850612629,0.0202310125398957,0.4588459999999941,5.600000000072214e-05,56.621687,0,0,0,0,0,0,0,0,0.0133415850612629,0.0202310125398957,0.0,0.0,1
1,59.99858499999999,4392,237168,54,54,3952.8932223984953,73.20172634071288,0.0136639911181963,0.0134041430703275,0.431317000000007,5.499999999614147e-05,59.99858499999999,0,0,0,0,0,0,0,0,0.0136639911181963,0.0134041430703275,0.0,0.0,1
1,59.963209,26817,1448118,54,54,24150.10844399605,447.2242304443713,0.0022360981876491,0.0038274692582611,0.2263260000000002,4.099999999596093e-05,59.963209,0,0,0,0,0,0,0,0,0.0022360981876491,0.0038274692582611,0.0,0.0,1
0,66.40112599999999,252,37548,149,149,565.4723385263076,3.795116365948373,0.2645463187250996,0.0699460695538069,0.7187940000000026,0.2316959999999994,66.40112599999999,0,0,0,0,0,0,0,0,0.2645463187250996,0.0699460695538069,0.0,0.0,0
1,66.65703599999999,1416,95576,66,78,1433.8471335569138,21.24306877371505,0.0471074459363957,0.0830604623648167,0.5325089999999975,3.900000000101045e-05,66.65703599999999,252,253,0,0,1423,0,0,0,0.0471074459363957,0.0830604623648167,0.0,0.0,0
