Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Duration,Total Packets,Total Length,Packet Length Min,Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Active Mean,Active Std,Idle Mean,Idle Std,label
192.168.1.124-192.168.56.103-0-0-HTTP,192.168.1.124,0,192.168.56.103,0,HTTP,12.085225,64,28928,452,452,2393.666646669797,5.295722669623444,0.1918289682539682,0.0515064991833846,0.3548630000000017,0.0643370000000018,12.085225,0,0,0,0,0,0,0,0,0.1918289682539682,0.0515064991833846,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36038-5000-TCP,192.168.1.124,36038,192.168.56.103,5000,TCP,0.0278160000000013,6,404,66,74,14524.014955420613,215.7031924072368,0.0055632000000002,0.0061100263256384,0.014924999999998,7.80000000020209e-05,0.0278160000000013,1,1,0,0,6,0,0,0,0.0055632000000002,0.0061100263256384,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36042-5000-TCP,192.168.1.124,36042,192.168.56.103,5000,TCP,0.0577220000000053,4,272,66,74,4712.241433075338,69.29766813346085,0.0192406666666684,0.0126070389994377,0.029791000000003,0.0052790000000015,0.0577220000000053,1,1,0,0,4,0,0,0,0.0192406666666684,0.0126070389994377,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36054-5000-TCP,192.168.1.124,36054,192.168.56.103,5000,TCP,0.0267070000000018,6,404,66,74,15127.120230650113,224.66020144529872,0.0053414000000003,0.0042847484523611,0.0102690000000009,0.000278999999999,0.0267070000000018,1,1,0,0,6,0,0,0,0.0053414000000003,0.0042847484523611,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36066-5000-TCP,192.168.1.124,36066,192.168.56.103,5000,TCP,0.0385109999999997,5,338,66,74,8776.713146893155,129.83303471735437,0.0096277499999999,0.0088104636039556,0.0214369999999988,0.0001050000000049,0.0385109999999997,1,1,0,0,5,0,0,0,0.0096277499999999,0.0088104636039556,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36080-5000-TCP,192.168.1.124,36080,192.168.56.103,5000,TCP,0.0265240000000019,4,272,66,74,10254.863519830327,150.80681646809305,0.0088413333333339,0.0071111769302516,0.0170400000000015,0.0043480000000002,0.0265240000000019,1,1,0,0,4,0,0,0,0.0088413333333339,0.0071111769302516,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36088-5000-TCP,192.168.1.124,36088,192.168.56.103,5000,TCP,0.0259599999999977,6,404,66,74,15562.40369799826,231.12480739601372,0.0051919999999995,0.0037393520160578,0.0109750000000019,0.0007270000000048,0.0259599999999977,1,1,0,0,6,0,0,0,0.0051919999999995,0.0037393520160578,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36104-5000-TCP,192.168.1.124,36104,192.168.56.103,5000,TCP,0.0298509999999936,6,404,66,74,13533.88496198071,200.998291514565,0.0059701999999987,0.00348260889277,0.0093490000000002,0.0001239999999995,0.0298509999999936,1,1,0,0,6,0,0,0,0.0059701999999987,0.00348260889277,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36114-5000-TCP,192.168.1.124,36114,192.168.56.103,5000,TCP,0.0831109999999952,4,272,66,74,3272.7316480371487,48.1284065887816,0.027703666666665,0.0242691900221901,0.0549119999999945,0.0082880000000002,0.0831109999999952,1,1,0,0,4,0,0,0,0.027703666666665,0.0242691900221901,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36126-5000-TCP,192.168.1.124,36126,192.168.56.103,5000,TCP,0.0446129999999982,4,272,66,74,6096.877591733592,89.65996458431754,0.0148709999999994,0.0128427166518631,0.0231560000000001,7.699999999744023e-05,0.0446129999999982,1,1,0,0,4,0,0,0,0.0148709999999994,0.0128427166518631,0.0,0.0,BENIGN
